gene_name	WT	cKO	WT_cpm	cKO_cpm	log2FC
Rora	28115	83487	2534.11158455388	2633.57788939017	0.05552258280863802
Rbm33	1971	5854	177.6537056075297	184.66306088960025	0.055520970030207575
Hdac7	466	1385	42.00234744449967	43.68950108167003	0.05552052153553961
Scp2	103	282	9.283780658333617	8.895624046953754	-0.05550814870578765
Slitrk4	107	293	9.644315829531038	9.242616474317197	-0.05549892401331241
Smc6	1018	3024	91.75620106974391	95.39137275882324	0.05546029377202918
Zfp263	139	381	12.528597199110417	12.018555893224752	-0.05544282798792737
Pex14	784	2329	70.66489355469471	73.46776030267834	0.05534940792948142
Trappc9	2400	7127	216.3211027184532	224.81954816538794	0.05534210644544961
Mmadhc	137	408	12.348329613511703	12.870264578571389	0.055336090784344
Zfp948	331	909	29.834285416586674	28.674192406670077	-0.05532664533882086
Tmed8	387	1063	34.88177781335058	33.5320863897583	-0.0553138695572919
Pinx1	463	1272	41.7319460661016	40.12494250966374	-0.055301358602569836
Rgs7	7084	21033	638.5077881906344	663.4810658850295	0.055266162133212914
Slc7a6os	168	500	15.142477190291725	15.77238306197474	0.055225696647823445
Wdr43	454	1349	40.9207419309074	42.55388950120785	0.05513731132015666
Ctdspl2	580	1594	52.2775998236262	50.28235720157547	-0.05506651272225206
Col18a1	166	494	14.962209604693015	15.583114465231041	0.05505461032658193
G2e3	356	1058	32.08763023657056	33.374362559138554	0.055040991984281834
Gm9929	39	117	3.5152179191748645	3.690737636502089	0.055019191349948815
Tmem150a	39	117	3.5152179191748645	3.690737636502089	0.055019191349948815
Asic2	30187	89606	2720.8688032341447	2826.600313302617	0.05498067767179246
Smg1	2593	7698	233.71692472872883	242.83160962216311	0.054963290884614414
Psmd4	340	934	30.64548955178087	29.462811559768813	-0.054950784973527844
Ndufaf1	70	209	6.309365495954886	6.592856119905441	0.054896494624627284
Eed	272	747	24.516391641424697	23.563940294590264	-0.05488232561190719
Slc17a5	383	1138	34.52124264215316	35.897943849054506	0.05485837136131845
Xiap	593	1630	53.44933913001781	51.41796878203765	-0.05485308885228639
Gm49539	244	670	21.992645443042743	21.13499330304615	-0.05484352945596325
Ryr3	6103	18115	550.0865374544667	571.4334383353448	0.054829064773349985
Ptpru	557	1531	50.204522589241016	48.29503693576666	-0.05482883826771273
Schip1	12441	36926	1121.354516216782	1164.8220338929586	0.05481912420592201
Mtss2	509	1399	45.878100534871955	44.13112780740533	-0.05479128270680986
Sirt1	200	549	18.0267585598711	17.318076602048265	-0.05476177345339108
Lbh	196	538	17.66622338867368	16.971084174684822	-0.05475261871868346
Igfbp4	7	22	0.6309365495954885	0.6939848547268885	0.054720320004610565
Irx4	7	22	0.6309365495954885	0.6939848547268885	0.054720320004610565
Ciita	7	22	0.6309365495954885	0.6939848547268885	0.054720320004610565
Bok	7	22	0.6309365495954885	0.6939848547268885	0.054720320004610565
Mrpl53	7	22	0.6309365495954885	0.6939848547268885	0.054720320004610565
Ush1c	7	22	0.6309365495954885	0.6939848547268885	0.054720320004610565
Mfsd5	7	22	0.6309365495954885	0.6939848547268885	0.054720320004610565
Tmem150b	7	22	0.6309365495954885	0.6939848547268885	0.054720320004610565
1700027H10Rik	7	22	0.6309365495954885	0.6939848547268885	0.054720320004610565
Gm32305	7	22	0.6309365495954885	0.6939848547268885	0.054720320004610565
ENSMUSG00000120422	7	22	0.6309365495954885	0.6939848547268885	0.054720320004610565
Slc39a14	433	1190	39.02793228212093	37.53827168749988	-0.05471521949301226
Mtr	425	1168	38.30686193972609	36.844286832772994	-0.05470567089054851
Atp5o	131	390	11.807526856715572	12.302458788340298	0.05470101693701446
Scai	1516	4500	136.64282988382294	141.95144755777267	0.054595770340512724
Prr3	130	387	11.717393063916216	12.207824489968448	0.05458989133579798
Btrc	1914	5681	172.51607941796644	179.205816350157	0.05457621563483664
Notch1	190	565	17.125420631877546	17.822792860031456	0.0544662302214104
Pik3r2	159	473	14.331273055097526	14.920674376628105	0.05442394933840907
Wdr4	112	307	10.094984793527816	9.68424320005249	-0.05442296941849892
Blvrb	37	111	3.334950333576154	3.5014690397583923	0.05438043282549998
Tmem198b	37	111	3.334950333576154	3.5014690397583923	0.05438043282549998
Gm7818	37	111	3.334950333576154	3.5014690397583923	0.05438043282549998
Magi3	1812	4985	163.3224325524322	157.25065912788816	-0.05431793529178261
1500015L24Rik	67	200	6.0389641175568185	6.308953224789896	0.05430166912516443
Eda	656	1804	59.12776807637721	56.906758087604864	-0.0542996774036361
Tdrd3	1075	2957	96.89382725930717	93.27787342851862	-0.054298675974631325
Trappc8	1003	2977	90.40419417775357	93.90876875099761	0.05428101958881692
Map4k2	550	1633	49.573586039645534	51.512603080409505	0.05427963288086277
Kcnt1	1152	3419	103.83412930485754	107.85155537778327	0.05425355197484937
Zfp219	157	467	14.151005469498815	14.731405779884406	0.05423405894885577
Gtf2f2	471	1295	42.453016408496445	40.850472130514575	-0.05421243064978467
Nfkbil1	80	219	7.21070342394844	6.908303781144936	-0.05413753498394904
Gm26652	96	286	8.65284410873813	9.021803111449552	0.05411611493227944
Bach1	335	995	30.194820587784097	31.38704229332973	0.0541102097879961
Cers4	1230	3384	110.86456514320727	106.74748856344505	-0.05409886978877504
2700062C07Rik	76	208	6.850168252751019	6.561311353781492	-0.0540871137379738
Rpl7a	36	108	3.244816540776798	3.4068347413865436	0.05404059336923127
Zbtb10	181	497	16.314216496683347	15.67774876360289	-0.05403254358527717
B230354K17Rik	72	197	6.489633081553596	6.214318926418048	-0.05403184017147043
Cacna1h	184	547	16.584617875081413	17.254987069800364	0.05397666227305135
Rara	95	283	8.562710315938773	8.927168813077703	0.05396275311378851
Hook2	169	464	15.23261098309108	14.63677148151256	-0.05395240249511236
Crim1	1361	3745	122.67209199992284	118.1351491341908	-0.053920853969229667
Ankle2	331	983	29.834285416586674	31.008505099842342	0.05391988765772992
Zfp280d	1922	5702	173.2371497603613	179.86825643875994	0.053886968577000496
Nme6	65	194	5.858696531958108	6.119684628046199	0.053878913326892555
Zfp961	741	2199	66.78914046432243	69.3669407065649	0.05384361316969299
Exph5	60	164	5.40802756796133	5.1733416443277145	-0.053828719350153015
Grb7	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Itpka	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Ifit1	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
BC049762	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
E230001N04Rik	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Gm11027	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
4933423P22Rik	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Rab11fip4os1	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Gm15512	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Mtag2	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Gm8206	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Gm28513	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Tigd5	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Gm20083	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Gm45893	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Gm45706	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Gm48778	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Gm31513	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Gm50196	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
ENSMUSG00000121018	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
ENSMUSG00000121082	6	19	0.5408027567961331	0.5993505563550401	0.05380400347131316
Ywhab	408	1122	36.77458746213705	35.393227591071316	-0.05374599519287027
Vta1	489	1345	44.07542467888484	42.42771043671205	-0.05372518999046559
Ambra1	2660	7890	239.75588884628567	248.8882047179614	0.05371171803501438
Polr3a	414	1229	37.31539021893318	38.76851756633391	0.053702785684267576
Gm20537	35	105	3.154682747977443	3.3122004430146954	0.05368592325594638
Chmp3	384	1140	34.61137643495252	35.96103338130241	0.05366689397071088
Tha1	52	142	4.686957225566487	4.479356789600827	-0.05365040497601904
Pip4p1	151	449	13.61020271270268	14.163599989653317	0.05363610905093546
Tcf3	209	621	18.8379626950653	19.58929976297263	0.053630892634093624
Ints10	759	2252	68.41154873471083	71.03881331113422	0.05359869682245282
Elovl6	1628	4481	146.73781467735074	141.3520970014176	-0.05357539701832834
