dataset	pathway	direction	padj	source
Happ2023	MYELOID CELL DIFFERENTIATION	down	0.028954081000163882	GO_BP_RNA
Happ2023	MYELOID CELL HOMEOSTASIS	down	0.008269757611133377	GO_BP_RNA
Happ2023	NEGATIVE CHEMOTAXIS	up	0.03394559249232459	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF AMYLOID PRECURSOR PROTEIN CATABOLIC PROCESS	up	0.048138560476612594	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF APOPTOTIC SIGNALING PATHWAY	down	0.008015999725397058	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF CELL CYCLE	down	2.4313613312913762e-4	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF CELL CYCLE G2 M PHASE TRANSITION	down	0.04271824627835159	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF CELL CYCLE PROCESS	down	1.4215925040871603e-4	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF CHROMOSOME ORGANIZATION	down	1.5585090798976285e-4	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF CHROMOSOME SEGREGATION	down	0.0030619313470640545	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF COLLAGEN METABOLIC PROCESS	up	0.022308111387208122	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF DNA METABOLIC PROCESS	down	0.014731766766008614	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF GENE EXPRESSION EPIGENETIC	down	0.005908365794135781	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF MAPK CASCADE	down	0.024691971901318513	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF MITOTIC CELL CYCLE	down	4.0324032151431015e-4	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION	down	1.2272041040603838e-4	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF MOLECULAR FUNCTION	down	0.016310025216781338	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF NUCLEAR DIVISION	down	0.0023335340966256835	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF ORGANELLE ORGANIZATION	down	0.005549681558865168	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF PHOSPHORUS METABOLIC PROCESS	down	0.030607475407529956	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF PROTEIN MODIFICATION PROCESS	down	0.020122291366603037	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF TRANSFERASE ACTIVITY	down	0.013872610235033587	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF TRANSLATION	down	0.030149258665923582	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF TRANSLATIONAL INITIATION	down	0.04271824627835159	GO_BP_RNA
Happ2023	NEGATIVE REGULATION OF T CELL MEDIATED IMMUNITY	up	0.012573394409237756	GO_BP_RNA
Happ2023	NEURON CELL CELL ADHESION	up	0.016699772639536713	GO_BP_RNA
Happ2023	NEURON PROJECTION GUIDANCE	up	0.018188705845103348	GO_BP_RNA
Happ2023	NEUROPEPTIDE SIGNALING PATHWAY	up	0.018437108334096567	GO_BP_RNA
Happ2023	NUCLEAR CHROMOSOME SEGREGATION	down	3.5541541227186556e-8	GO_BP_RNA
