cell	UMAP1	UMAP2	cell_type	cluster	genotype	Scn2a	dataset	organism	channel	expr	sample
08_02_51	-1.9215284574829552	5.2011471207826405	Neurons	8	cKO	1.1509604259800887	Bae2025	mouse	SCN2A	1.1509604259800887	PN36_3_cKO
08_02_54	0.4510263215697791	4.3758554871766835	Neurons	7	cKO	1.737815718646358	Bae2025	mouse	SCN2A	1.737815718646358	PN36_3_cKO
08_02_56	-10.166096566995284	2.873477261850146	Neurons	2	cKO	0	Bae2025	mouse	SCN2A	0	PN36_3_cKO
08_02_57	-1.776069282373092	5.190266173669603	Neurons	8	cKO	1.3805915763878571	Bae2025	mouse	SCN2A	1.3805915763878571	PN36_3_cKO
08_03_07	-4.390541194757125	-12.348773438146802	Astrocytes	4	cKO	2.3281806401830094	Bae2025	mouse	SCN2A	2.3281806401830094	PN36_3_cKO
08_03_41	-3.152249454339645	9.535391372033862	Neurons	8	cKO	1.5502973373901603	Bae2025	mouse	SCN2A	1.5502973373901603	PN36_3_cKO
08_03_75	3.313028694311478	5.891439479181078	Neurons	9	cKO	1.2690706319380771	Bae2025	mouse	SCN2A	1.2690706319380771	PN36_3_cKO
08_03_76	0.8532062780059364	4.027794402429369	Neurons	7	cKO	1.775506742896102	Bae2025	mouse	SCN2A	1.775506742896102	PN36_3_cKO
08_03_83	0.9449371110595252	4.859282534906176	Neurons	7	cKO	1.5133340437228675	Bae2025	mouse	SCN2A	1.5133340437228675	PN36_3_cKO
08_04_12	3.222957016149857	7.112690966913012	Neurons	9	cKO	1.1426060198991168	Bae2025	mouse	SCN2A	1.1426060198991168	PN36_3_cKO
